Year, LDCurve, Hour, PVSystem, "kWh", "kvarh", "Max kW", "Max kVA", "Hours", "Price($)"
0, , 0, "PV1"         ,          0,          0,          0,          0,          0,          0
0, , 0, "PV2"         ,          0,          0,          0,          0,          0,          0
0, , 0, "PV3"         ,          0,          0,          0,          0,          0,          0
0, , 0, "PV1"         ,          0,          0,          0,          0,          0,          0
0, , 0, "PV2"         ,          0,          0,          0,          0,          0,          0
0, , 0, "PV3"         ,          0,          0,          0,          0,          0,          0
0, , 0, "PV1"         ,          0,          0,          0,          0,          0,          0
0, , 0, "PV2"         ,          0,          0,          0,          0,          0,          0
0, , 0, "PV3"         ,          0,          0,          0,          0,          0,          0
